example_id                                              | status  | run_time        |
./spec/requests/api/v1/items_request_spec.rb[1:4:1]     | passed  | 0.0166 seconds  |
./spec/requests/api/v1/items_request_spec.rb[1:4:2]     | passed  | 0.01146 seconds |
./spec/requests/api/v1/items_request_spec.rb[1:4:3]     | passed  | 0.01058 seconds |
./spec/requests/api/v1/items_request_spec.rb[1:5:1]     | passed  | 0.01576 seconds |
./spec/requests/api/v1/items_request_spec.rb[1:6:1]     | passed  | 0.00932 seconds |
./spec/requests/api/v1/merchants/items_spec.rb[1:1:1]   | passed  | 0.01769 seconds |
./spec/requests/api/v1/merchants/items_spec.rb[1:1:2]   | passed  | 0.0106 seconds  |
./spec/requests/api/v1/merchants/search_spec.rb[1:1:1]  | pending | 0.00001 seconds |
./spec/requests/api/v1/merchants/search_spec.rb[1:1:2]  | passed  | 0.00671 seconds |
./spec/requests/api/v1/merchants/search_spec.rb[1:1:3]  | passed  | 0.0063 seconds  |
./spec/requests/api/v1/merchants/search_spec.rb[1:2:1]  | pending | 0.00001 seconds |
./spec/requests/api/v1/merchants/search_spec.rb[1:2:2]  | passed  | 0.00533 seconds |
./spec/requests/api/v1/merchants/search_spec.rb[1:2:3]  | passed  | 0.0052 seconds  |
./spec/requests/api/v1/merchants_request_spec.rb[1:1]   | passed  | 0.01343 seconds |
./spec/requests/api/v1/merchants_request_spec.rb[1:2:1] | passed  | 0.00726 seconds |
./spec/requests/api/v1/merchants_request_spec.rb[1:2:2] | passed  | 0.00644 seconds |
